Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Rite Aid Corporation,PA,Healthcare Provider,2345,6/3/2015,Theft,"Other, Paper/Films",No
"Gallant Risk & Insurance Services, Inc.",CA,Business Associate,995,6/3/2015,Theft,Laptop,Yes
Lancaster County EMS,SC,Healthcare Provider,50000,6/4/2015,Improper Disposal,Other Portable Electronic Device,No
Stanislaus Surgical Hospital,CA,Healthcare Provider,1170,6/4/2015,Theft,"Desktop Computer, Other Portable Electronic Device, Paper/Films",No
Fred Finch Youth Center,CA,Healthcare Provider,6871,6/5/2015,Theft,"Network Server, Other",No
"Truman Medical Center, Incorporated",MO,Healthcare Provider,503,6/9/2015,Unauthorized Access/Disclosure,Other,No
"Keystone Pharmacy, Inc.",MD,Healthcare Provider,500,6/9/2015,Unauthorized Access/Disclosure,"Other, Paper/Films",No
California Physicians' Service d/b/a Blue Shield of California,CA,Health Plan,843,6/9/2015,Unauthorized Access/Disclosure,Network Server,No
"United Seating and Mobility, LLC d/b/a Numotion",CT,Healthcare Provider,2722,6/10/2015,Theft,Laptop,No
"Implants, Dentures & Dental DBA Half Dental",NV,Healthcare Provider,12000,6/10/2015,Theft,"Electronic Medical Record, Laptop, Network Server, Other, Other Portable Electronic Device",No
The Department of Aging and Disability Services,TX,Health Plan,6600,6/11/2015,Unauthorized Access/Disclosure,Network Server,No
"National Seating & Mobility, Inc.",TN,Healthcare Provider,9627,6/12/2015,Theft,"Email, Laptop, Paper/Films",No
"Global Care Delivery, Inc.",TX,Business Associate,18213,6/12/2015,Theft,Laptop,Yes
St. Martin Parish School Based Health Centers,LA,Healthcare Provider,3000,6/15/2015,Theft,"Desktop Computer, Electronic Medical Record, Laptop",No
University of California Irvine Medical Center,CA,Healthcare Provider,4859,6/17/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Central Brooklyn Medical Group, PC",NY,Healthcare Provider,4223,6/19/2015,Unauthorized Access/Disclosure,Other,No
"Heartland Dental, LLC",IL,Business Associate,2860,6/24/2015,Hacking/IT Incident,Network Server,Yes
Episcopal Health Services Inc. d/b/a St. John's Episcopal Hospital,NY,Healthcare Provider,509,6/25/2015,Theft,Electronic Medical Record,No
CVS Health,RI,Healthcare Provider,12914,6/26/2015,Theft,Desktop Computer,No
"Meritus Medical Center, Inc.",MD,Healthcare Provider,1029,6/26/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
UPMC Health Plan,PA,Health Plan,722,7/2/2015,Unauthorized Access/Disclosure,Email,No
Orlando Health,FL,Healthcare Provider,3421,7/2/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
"University of Oklahoma, Department of Obstetrics and Gynecology",OK,Healthcare Provider,7693,7/3/2015,Theft,Laptop,No
FireKeepers Casino Hotel,MI,Health Plan,7666,7/3/2015,Hacking/IT Incident,Network Server,No
Georgia Department of Human Services,GA,Health Plan,2983,7/8/2015,Unauthorized Access/Disclosure,Email,No
Massachusetts General Hospital,MA,Healthcare Provider,648,7/8/2015,Unauthorized Access/Disclosure,Email,No
"Integral Health Plan, Inc.",FL,Health Plan,7549,7/10/2015,Unauthorized Access/Disclosure,Paper/Films,No
Howard University,DC,Healthcare Provider,1445,7/10/2015,Unauthorized Access/Disclosure,Paper/Films,No
Amsterdam Nursing Home Corporation (1992),NY,Healthcare Provider,621,7/10/2015,Loss,Paper/Films,No
Mayo Clinic Health System- Red Wing,MN,Healthcare Provider,601,7/13/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
Maricopa Special  Health Care District - Maricopa Integrated Health System,AZ,Healthcare Provider,633,7/14/2015,Loss,Other Portable Electronic Device,No
Arkansas Blue Cross and Blue Shield,AR,Health Plan,560,7/14/2015,Theft,Desktop Computer,No
"University of California, Los Angeles Health",CA,Healthcare Provider,4500000,7/17/2015,Hacking/IT Incident,Network Server,No
Special Agents Mutual Benefit Association,MD,Health Plan,1475,7/20/2015,Hacking/IT Incident,Network Server,No
Montefiore Medical Center ,NY,Healthcare Provider,12517,7/22/2015,Theft,"Desktop Computer, Electronic Medical Record",No
Medical Informatics Engineering,IN,Business Associate,3900000,7/23/2015,Hacking/IT Incident,"Electronic Medical Record, Network Server",Yes
"Urology Associates, Professional Corporation",MT,Healthcare Provider,6500,7/24/2015,Unauthorized Access/Disclosure,Paper/Films,No
"Healthfirst Affiliates that include Healthfirst PHSP, Inc., Managed Health, Inc., HF Management Services, LLC, and Senior Health Partners ",NY,Health Plan,5338,7/24/2015,Hacking/IT Incident,Electronic Medical Record,No
"Advanced Radiology Consultants, LLC",CT,Healthcare Provider,855,7/24/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
OhioHealth,OH,Healthcare Provider,1006,7/24/2015,Loss,Other Portable Electronic Device,No
The McLean Hospital Corporation,MA,Healthcare Provider,12673,7/28/2015,Loss,Other Portable Electronic Device,No
East Bay Perinatal Medical Associates,CA,Business Associate,1494,7/29/2015,Unauthorized Access/Disclosure,Laptop,Yes
"Prima CARE, PC",MA,Healthcare Provider,1651,7/29/2015,Unauthorized Access/Disclosure,Paper/Films,No
Sioux Falls VA Health Care System,SD,Healthcare Provider,1111,7/30/2015,Loss,Paper/Films,No
"Siouxland Anesthesiology, Ltd.",SD,Healthcare Provider,13000,7/31/2015,Hacking/IT Incident,Network Server,No
North East Medical Services (NEMS),CA,Healthcare Provider,69246,7/31/2015,Theft,Laptop,No
"Orlantino Dyoco, M.D.",CA,Healthcare Provider,9000,8/3/2015,Theft,"Desktop Computer, Laptop",No
VA Black Hills Health Care System,SD,Healthcare Provider,1168,8/4/2015,Unauthorized Access/Disclosure,Paper/Films,No
Lawrence General Hospital,MA,Healthcare Provider,2071,8/5/2015,Loss,Other Portable Electronic Device,No
T.J. Samson Community Hospital,KY,Healthcare Provider,2060,8/7/2015,Unauthorized Access/Disclosure,Email,No
"Max M Bayard MD, PC",VT,Healthcare Provider,2000,8/7/2015,Theft,"Laptop, Other Portable Electronic Device",No
Baylor College of Medicine,TX,Healthcare Provider,1004,8/7/2015,Theft,"Other Portable Electronic Device, Paper/Films",No
Walgreen Co.,IL,Healthcare Provider,8345,8/7/2015,Unauthorized Access/Disclosure,Paper/Films,No
"Endocrinology Associates, Inc.",OH,Healthcare Provider,1400,8/14/2015,Unauthorized Access/Disclosure,Other,No
Cancer Care Northwest,WA,Healthcare Provider,1426,8/17/2015,Loss,Paper/Films,No
Colorado Department of Health Care Policy and Financing,CO,Health Plan,1622,8/18/2015,Unauthorized Access/Disclosure,Paper/Films,No
"Empi Inc and DJO, LLC",MN,Healthcare Provider,160000,8/20/2015,Theft,Laptop,No
Pediatric Group LLC,IL,Healthcare Provider,10000,8/21/2015,Hacking/IT Incident,Network Server,No
"PT Northwest, LLC",OR,Healthcare Provider,1500,8/21/2015,Unauthorized Access/Disclosure,Email,No
"Pediatric Gastroenterology, Hepatology & Nutrition of Florida, P.A.",FL,Healthcare Provider,13000,8/24/2015,Theft,Paper/Films,No
"Lancaster Cardiology Medical Group, and Sunder Heart Institute and Vascular Medical Clinic",CA,Healthcare Provider,1200,8/24/2015,Theft,"Desktop Computer, Laptop, Network Server, Other Portable Electronic Device",No
Children's Hospital Medical Center of Akron,OH,Healthcare Provider,7664,8/26/2015,Loss,Other Portable Electronic Device,No
"ROBERT SOPER, M.D.",CA,Healthcare Provider,2000,8/26/2015,Theft,Desktop Computer,No
Merit Health Northwest Mississippi,MS,Healthcare Provider,846,8/26/2015,Theft,Electronic Medical Record,No
Metropolitan Atlanta Rapid Transit Authority,GA,Health Plan,800,8/27/2015,Unauthorized Access/Disclosure,Paper/Films,No
"Minneapolis Clinic of Neurology, Ltd.",MN,Healthcare Provider,1450,8/31/2015,Theft,Laptop,No
University of California at Los Angeles ,CA,Healthcare Provider,1242,9/1/2015,Theft,Laptop,No
Lee Memorial Health System,FL,Healthcare Provider,1508,9/7/2015,Unauthorized Access/Disclosure,Paper/Films,No
Oakland Family Services,MI,Healthcare Provider,16107,9/9/2015,Hacking/IT Incident,Email,No
"Excellus Health Plan, Inc.",NY,Health Plan,10000000,9/9/2015,Hacking/IT Incident,Network Server,No
Blue Cross Blue Shield of North Carolina,NC,Health Plan,807,9/11/2015,Unauthorized Access/Disclosure,Paper/Films,No
Blue Cross Blue Shield of North Carolina,NC,Health Plan,1530,9/11/2015,Unauthorized Access/Disclosure,Paper/Films,No
Sutter Medical Foundation,CA,Healthcare Provider,2302,9/11/2015,Unauthorized Access/Disclosure,Email,No
"Affinity Health Plan, Inc.",NY,Health Plan,721,9/14/2015,Unauthorized Access/Disclosure,Paper/Films,No
Louisiana State University Health Sciences Center-New Orleans,LA,Healthcare Provider,14500,9/15/2015,Theft,Laptop,No
"Daniel A. Sheldon, M.D., P.A.",FL,Healthcare Provider,2075,9/16/2015,Hacking/IT Incident,Network Server,No
Health Care Service Corporation,IL,Health Plan,501,9/17/2015,Theft,Paper/Films,No
Molina Healthcare,CA,Health Plan,54203,9/18/2015,Theft,Desktop Computer,No
Heartland Health Clinic,VA,Healthcare Provider,3650,9/21/2015,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No
Skin and Cancer Center of Arizona,AZ,Healthcare Provider,3311,9/21/2015,Unauthorized Access/Disclosure,Paper/Films,No
"Barrington Orthopedic Specialists, Ltd",IL,Healthcare Provider,1009,9/24/2015,Theft,"Laptop, Other",No
Sunquest Information Systems,AZ,Business Associate,2100,9/24/2015,Theft,Laptop,Yes
"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates",NJ,Health Plan,1173,9/24/2015,Unauthorized Access/Disclosure,"Electronic Medical Record, Other",No
Silverberg Surgical and Medical Group,CA,Healthcare Provider,857,9/25/2015,Unauthorized Access/Disclosure,Network Server,No
"Kindred Nursing Centers West, L.L.C.",CA,Healthcare Provider,1125,9/25/2015,Theft,Desktop Computer,No
Humana Inc [Case 18652],KY,Health Plan,2815,9/30/2015,Theft,"Laptop, Paper/Films",No
Baptist Health and Arkansas Health Group,AR,Healthcare Provider,6500,10/1/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
Sentara Healthcare ,VA,Healthcare Provider,1040,10/2/2015,Theft,Other Portable Electronic Device,No
CarePlus Health Plans [case 18772],KY,Health Plan,2873,10/6/2015,Unauthorized Access/Disclosure,Paper/Films,No
Insurance Data Services,MI,Business Associate,2918,10/8/2015,Theft,Paper/Films,Yes
Anne Arundel Health System,MD,Healthcare Provider,2208,10/8/2015,Unauthorized Access/Disclosure,Paper/Films,No
Aspire Home Care and Hospice,OK,Healthcare Provider,4278,10/9/2015,Hacking/IT Incident,Email,No
The Johns Hopkins Hospital,MD,Healthcare Provider,571,10/9/2015,Theft,Laptop,No
SSM Health Cancer Care,MO,Healthcare Provider,643,10/9/2015,Unauthorized Access/Disclosure,Paper/Films,No
University of Oklahoma Department of Urology,OK,Healthcare Provider,9300,10/10/2015,Theft,Laptop,No
Bridgeway Health Solutions,AZ,Health Plan,8208,10/15/2015,Theft,Other Portable Electronic Device,No
"Nephropathology Associates, PLC",AR,Healthcare Provider,1260,10/16/2015,Unauthorized Access/Disclosure,Email,No
Emergence Health Network,TX,Healthcare Provider,11100,10/16/2015,Hacking/IT Incident,Network Server,No
 Woodhull Medical and Mental Health Center ,NY,Healthcare Provider,1581,10/19/2015,Theft,Laptop,No
"BeHealthy Florida, Inc.",FL,Health Plan,835,10/19/2015,Unauthorized Access/Disclosure,Paper/Films,No
North Carolina Department of Health and Human Services,NC,Health Plan,1615,10/19/2015,Hacking/IT Incident,Email,No
OsteoMed LP,TX,Health Plan,1134,10/20/2015,Theft,Other,No
Huntington Medical Research Institutes,CA,Healthcare Provider,4300,10/20/2015,Unauthorized Access/Disclosure,"Laptop, Other Portable Electronic Device",No
Indian Territory Home Health and Hospice,OK,Healthcare Provider,4500,10/22/2015,Hacking/IT Incident,Email,No
EnvisionRx,OH,Business Associate,540,10/23/2015,Unauthorized Access/Disclosure,Paper/Films,Yes
"Florida Department of Health, Children's Medical Services",FL,Healthcare Provider,500,10/23/2015,Unauthorized Access/Disclosure,Paper/Films,No
Bon Secours Saint Francis ,SC,Healthcare Provider,1997,10/26/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
Children's Medical Clinics of East Texas,TX,Healthcare Provider,16000,10/28/2015,Unauthorized Access/Disclosure,Desktop Computer,No
"LTC Dental, P.C.",AL,Healthcare Provider,1680,10/28/2015,Theft,Laptop,No
Rush University Medical Center,IL,Healthcare Provider,1529,11/6/2015,Unauthorized Access/Disclosure,Paper/Films,No
Dean Health Plan,WI,Health Plan,960,11/11/2015,Loss,Paper/Films,No
"Good Care Pediatric, LLP",NY,Healthcare Provider,2300,11/12/2015,Hacking/IT Incident,Desktop Computer,No
North Carolina Department of Health and Human Services,NC,Health Plan,524,11/13/2015,Unauthorized Access/Disclosure,Email,No
"OH Muhlenberg, LLC ",KY,Healthcare Provider,84681,11/13/2015,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server, Other Portable Electronic Device",No
HealthPoint,WA,Healthcare Provider,1300,11/13/2015,Theft,Laptop,No
"Midlands Orthopaedics, P.A. ",SC,Healthcare Provider,3902,11/13/2015,Hacking/IT Incident,Network Server,Yes
"UC Health, LLC",OH,Healthcare Provider,1064,11/14/2015,Unauthorized Access/Disclosure,Email,No
"Alaska Orthopedic Specialists, Inc.",AK,Healthcare Provider,553,11/19/2015,Theft,Email,No
Cigna Home Delivery Pharmacy,CT,Healthcare Provider,592,11/23/2015,Unauthorized Access/Disclosure,Paper/Films,No
Pathways Professional Counseling,AL,Healthcare Provider,986,11/24/2015,Theft,Laptop,No
"New Dimension Group, LLC",NC,Healthcare Provider,1275,11/25/2015,Loss,Other Portable Electronic Device,No
"Carolyn B Lyde, MD, PA",TX,Healthcare Provider,1500,11/30/2015,Theft,Laptop,No
PeaceHealth,WA,Healthcare Provider,1407,11/30/2015,Unauthorized Access/Disclosure,Other,No
Centegra Health System ,IL,Healthcare Provider,2929,12/1/2015,Unauthorized Access/Disclosure,Paper/Films,No
Cottage Health,CA,Healthcare Provider,11000,12/1/2015,Unauthorized Access/Disclosure,Network Server,No
University of Colorado Health,CO,Healthcare Provider,827,12/2/2015,Unauthorized Access/Disclosure,Electronic Medical Record,No
Blue Cross and Blue Shield of Nebraska,NE,Health Plan,1872,12/3/2015,Unauthorized Access/Disclosure,Paper/Films,No
Camelback Women's Health,AZ,Healthcare Provider,810,12/3/2015,Unauthorized Access/Disclosure,Paper/Films,No
Middlesex Hospital,CT,Healthcare Provider,946,12/4/2015,Hacking/IT Incident,Email,No
Maine General Health,ME,Healthcare Provider,500,12/8/2015,Hacking/IT Incident,Network Server,No
"Mary Ruth Buchness, MD, Dermatologist, P.C.",NY,Healthcare Provider,14910,12/11/2015,Unauthorized Access/Disclosure,Email,Yes
Northwest Primary Care Group,OR,Healthcare Provider,5327,12/11/2015,Theft,"Desktop Computer, Paper/Films",No
New Mexico Department of Health,NM,Healthcare Provider,561,12/15/2015,Theft,Laptop,No
Fidelis Care ,NY,Health Plan,687,12/15/2015,Unauthorized Access/Disclosure,Paper/Films,No
Fidelis Care ,NY,Health Plan,738,12/15/2015,Unauthorized Access/Disclosure,Paper/Films,No
"Physicians Health Plan of Northern Indiana, Inc.",IN,Health Plan,1708,12/18/2015,Unauthorized Access/Disclosure,Paper/Films,No
Belgrade Regional Health Center,ME,Healthcare Provider,854,12/18/2015,Unauthorized Access/Disclosure,Paper/Films,No
"Oceans Acquisition, Inc.",TX,Healthcare Provider,659,12/22/2015,Theft,Laptop,No
WhiteGlove Health,TX,Healthcare Provider,975,12/23/2015,Unauthorized Access/Disclosure,Email,No
Allina Health,MN,Healthcare Provider,6195,12/23/2015,Improper Disposal,Paper/Films,No
"ST Psychotherapy, LLC",WI,Healthcare Provider,509,12/23/2015,Theft,Laptop,No
HealthSouth Rehabilitation Hospital of Round Rock,TX,Healthcare Provider,1359,12/24/2015,Theft,Laptop,No
"Michael Benjamin, M.D., Inc.",CA,Healthcare Provider,1300,12/28/2015,Theft,Paper/Films,No
Hillsides,CA,Healthcare Provider,502,12/30/2015,Unauthorized Access/Disclosure,Email,No
St. Luke's Cornwall Hospital,NY,Healthcare Provider,29156,12/30/2015,Theft,Other Portable Electronic Device,No
Pittman Family Dental,OH,Healthcare Provider,8830,12/31/2015,Hacking/IT Incident,Network Server,No
Elite Imaging,FL,Healthcare Provider,1457,1/4/2016,Theft,Paper/Films,No
AHRC Nassau ,NY,Healthcare Provider,1200,1/6/2016,Unauthorized Access/Disclosure,Paper/Films,No
Brigham and Women's Hospital,MA,Healthcare Provider,1009,1/11/2016,Hacking/IT Incident,Email,No
"G&S Medical Associates, LLC",NJ,Healthcare Provider,3000,1/14/2016,Hacking/IT Incident,Desktop Computer,No
"Felicia Lewis, MD Lakewood Hills Internal Medicine",TX,Healthcare Provider,1500,1/14/2016,Hacking/IT Incident,Electronic Medical Record,No
Blue Shield of California,CA,Health Plan,20764,1/14/2016,Unauthorized Access/Disclosure,Network Server,No
CDC/NIOSH/ World Trade Center Health Program (WTCHP),GA,Health Plan,597,1/15/2016,Unauthorized Access/Disclosure,Paper/Films,No
Hawai‰Û÷i Medical Service Association,HI,Health Plan,10179,1/15/2016,Unauthorized Access/Disclosure,Paper/Films,No
New West Health Services d/b/a New West Medicare ,MT,Health Plan,28209,1/15/2016,Loss,Laptop,No
The University of Texas System Administration,TX,Health Plan,794,1/21/2016,Unauthorized Access/Disclosure,Email,No
"Livongo Health, Inc.",IL,Healthcare Provider,1950,1/25/2016,Unauthorized Access/Disclosure,Paper/Films,No
Community Mercy Health Partners,OH,Healthcare Provider,113528,1/25/2016,Improper Disposal,Paper/Films,No
Crown Point Health Center,IN,Healthcare Provider,1854,1/29/2016,Improper Disposal,Paper/Films,No
Louisiana Healthcare Connections,LA,Health Plan,13086,2/2/2016,Theft,Other,No
"Grx Holdings, LLC dba Medicap Pharmacy",IA,Healthcare Provider,2300,2/2/2016,Loss,Other,No
Rite Aid Store 01617,NY,Healthcare Provider,976,2/3/2016,Unauthorized Access/Disclosure,"Desktop Computer, Other",No
Borgess Medical Center d/b/a Borgess Rheumatology,MI,Healthcare Provider,700,2/5/2016,Unauthorized Access/Disclosure,Paper/Films,No
"SEIM JOHNSON, LLP",NE,Business Associate,30972,2/8/2016,Theft,Laptop,Yes
Washington State Health Care Authority (HCA),WA,Health Plan,91187,2/9/2016,Unauthorized Access/Disclosure,Email,No
BlueCross BlueShield of South Carolina ,SC,Business Associate,998,2/12/2016,Unauthorized Access/Disclosure,Paper/Films,Yes
"DataStat, Inc.",MI,Business Associate,552,2/12/2016,Unauthorized Access/Disclosure,Paper/Films,Yes
"Radiology Regional Center, PA",FL,Healthcare Provider,483063,2/12/2016,Loss,Paper/Films,No
"Alliance Health Networks, LLC",UT,Healthcare Provider,42372,2/15/2016,Hacking/IT Incident,Network Server,No
"Public Health Trust of Miami-Dade County, Florida",FL,Healthcare Provider,24188,2/19/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No
Roark's Pharmacy,TN,Healthcare Provider,3000,2/19/2016,Theft,Network Server,No
ELLIOT J MARTIN CHIROPRACTIC PC,NY,Healthcare Provider,1200,2/24/2016,Hacking/IT Incident,Desktop Computer,No
"BJC HealthCare ACO, LLC",MO,Healthcare Provider,2393,2/26/2016,Unauthorized Access/Disclosure,Email,No
Locust Fork Pharmacy,AL,Healthcare Provider,5000,2/26/2016,Unauthorized Access/Disclosure,Other,No
"Vancouver Radiologists, PC",WA,Healthcare Provider,603,2/26/2016,Unauthorized Access/Disclosure,Paper/Films,No
Valley Hope Association ,KS,Healthcare Provider,52076,2/26/2016,Theft,Laptop,No
Nintendo of America Inc.,WA,Health Plan,6248,2/26/2016,Hacking/IT Incident,Network Server,No
Ecolab Health and Welfare Benefits Plan,MN,Health Plan,1550,2/26/2016,Hacking/IT Incident,Network Server,No
Ecolab Health and Welfare Benefits Plan,MN,Health Plan,1550,2/26/2016,Hacking/IT Incident,Network Server,No
Freeport Memorial Hospital,IL,Healthcare Provider,1349,2/26/2016,Theft,Other,No
Eye Institute of Corpus Christi,TX,Healthcare Provider,43961,2/26/2016,Theft,Electronic Medical Record,No
Mind Springs Health,CO,Healthcare Provider,2147,2/27/2016,Unauthorized Access/Disclosure,Network Server,No
Group Life Hospital and Medical Program,CT,Health Plan,3000,2/29/2016,Hacking/IT Incident,Other,No
"Walmart Stores, Inc.",AR,Healthcare Provider,4800,3/1/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No
Centers Plan for Healthy Living ,NY,Health Plan,6893,3/3/2016,Theft,Laptop,No
City of Hope,CA,Healthcare Provider,1024,3/4/2016,Hacking/IT Incident,Email,No
21st Century Oncology,FL,Healthcare Provider,2213597,3/4/2016,Hacking/IT Incident,Network Server,No
"Cardiology Associates of Jonesboro, Inc.",AR,Healthcare Provider,1669,3/4/2016,Unauthorized Access/Disclosure,Paper/Films,No
"Premier Healthcare, LLC",IN,Healthcare Provider,205748,3/4/2016,Theft,Laptop,No
Walgreen Co.,IL,Healthcare Provider,880,3/4/2016,Theft,Paper/Films,No
Complete Family Foot Care,NE,Healthcare Provider,5883,3/7/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
Illinois Valley Podiatry Group,IL,Healthcare Provider,26588,3/8/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
Cromwell Fire District,CT,Healthcare Provider,500,3/10/2016,Unauthorized Access/Disclosure,Paper/Films,No
Vidant Health,NC,Healthcare Provider,897,3/10/2016,Unauthorized Access/Disclosure,Other,No
UHHS Geauga Medical Center,OH,Healthcare Provider,677,3/10/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No
Karmanos Cancer Center,MI,Healthcare Provider,2808,3/10/2016,Loss,Other Portable Electronic Device,No
Virtua Medical Group,NJ,Healthcare Provider,1654,3/11/2016,Unauthorized Access/Disclosure,"Network Server, Other",No
Vibrant Body Wellness,CA,Healthcare Provider,726,3/11/2016,Theft,"Laptop, Other Portable Electronic Device",No
JASACare,NY,Healthcare Provider,1154,3/14/2016,Hacking/IT Incident,Email,No
"Laborers Funds Administrative Office of Northern California, Inc.",CA,Health Plan,2373,3/15/2016,Unauthorized Access/Disclosure,Paper/Films,No
W. Christopher Bryant DDS PC,MI,Healthcare Provider,2200,3/17/2016,Loss,Other Portable Electronic Device,No
Hospital for Special Surgery,NY,Healthcare Provider,647,3/17/2016,Unauthorized Access/Disclosure,Email,No
"Lindsay House Surgery Center, LLC",NY,Healthcare Provider,773,3/18/2016,Theft,Paper/Films,No
Val Verde Regional Medical Center,TX,Healthcare Provider,2000,3/18/2016,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server",No
Bozeman Health Deaconess Hospital,MT,Healthcare Provider,1124,3/21/2016,Unauthorized Access/Disclosure,Paper/Films,No
National Counseling Group,VA,Healthcare Provider,23000,3/21/2016,Hacking/IT Incident,Email,No
"Metropolitan Jewish Health System, Inc. d/b/a MJHS",NY,Business Associate,2483,3/22/2016,Hacking/IT Incident,Email,Yes
"Excel Plus Home Health, Incorporated",TX,Healthcare Provider,524,3/23/2016,Theft,Desktop Computer,No
"Morton Medical Center, PLLC",WA,Healthcare Provider,3000,3/24/2016,Hacking/IT Incident,"Desktop Computer, Network Server",No
Mercy Iowa City,IA,Healthcare Provider,15625,3/25/2016,Hacking/IT Incident,"Desktop Computer, Email, Network Server",No
"Aurora Health Care, Inc.",WI,Healthcare Provider,869,4/1/2016,Unauthorized Access/Disclosure,Network Server,No
"Pointe Medical Services, Inc.",FL,Healthcare Provider,2000,4/1/2016,Theft,"Desktop Computer, Other Portable Electronic Device",No
Einstein Healthcare Network ,PA,Healthcare Provider,2939,4/1/2016,Unauthorized Access/Disclosure,Other,No
Sisters of Charity of Leavenworth Health System Health Benefits Plan,CO,Business Associate,540,4/5/2016,Unauthorized Access/Disclosure,Paper/Films,Yes
Target Corporation Health Plan,MN,Business Associate,719,4/5/2016,Unauthorized Access/Disclosure,Paper/Films,Yes
Pacific Gas and Electric Company,CA,Business Associate,2426,4/5/2016,Unauthorized Access/Disclosure,Paper/Films,Yes
RMA Medical Centers of Florida,FL,Healthcare Provider,3906,4/7/2016,Theft,Laptop,No
Indian Health Service Northern Navajo Medical Center,NM,Health Plan,7421,4/7/2016,Theft,Paper/Films,No
"BioReference Laboratories, Inc",NJ,Healthcare Provider,3563,4/8/2016,Unauthorized Access/Disclosure,Other,No
Pain Treatment Centers of America ,AR,Healthcare Provider,19397,4/11/2016,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
"Mark Anthony Quintero, M.D., L.L.C.",FL,Healthcare Provider,650,4/12/2016,Hacking/IT Incident,Network Server,No
"Sacred Heart Health System, Inc",FL,Healthcare Provider,532,4/12/2016,Unauthorized Access/Disclosure,Other,No
"OptumRx, Inc.",CA,Healthcare Provider,6229,4/12/2016,Theft,Laptop,No
United Community & Family Services,CT,Healthcare Provider,1000,4/12/2016,Unauthorized Access/Disclosure,Email,No
American Fidelity Assurance Company,OK,Health Plan,2664,4/13/2016,Unauthorized Access/Disclosure,Paper/Films,No
Florida Department of Health,FL,Healthcare Provider,1076,4/13/2016,Unauthorized Access/Disclosure,Paper/Films,No
Oneida Tribe of Indians of Wisconsin,WI,Healthcare Provider,2734,4/15/2016,Theft,"Desktop Computer, Other Portable Electronic Device",No
Atique Orthodontics,OR,Healthcare Provider,1506,4/15/2016,Hacking/IT Incident,Desktop Computer,No
"Vail Clinic, Inc. dba Vail Valley Medical Center, and dba Howard Head Sports Medicine",CO,Healthcare Provider,3118,4/15/2016,Unauthorized Access/Disclosure,"Laptop, Network Server",No
Florida Hospital Medical Group,FL,Healthcare Provider,1906,4/18/2016,Unauthorized Access/Disclosure,Email,No
"Quarles & Brady, LLP",WI,Business Associate,1032,4/19/2016,Theft,Laptop,Yes
Lake Pulmonary Critical Care PA,FL,Healthcare Provider,648,4/20/2016,Theft,Paper/Films,No
Lake Pulmonary Critical PA,FL,Healthcare Provider,648,4/20/2016,Theft,Paper/Films,No
Wyoming Medical Center,WY,Healthcare Provider,3184,4/20/2016,Hacking/IT Incident,Email,No
"Kaiser Foundation Health Plan, Inc.",CA,Business Associate,2451,4/22/2016,Theft,Paper/Films,Yes
Edwin Shaw Rehabilitation,OH,Healthcare Provider,975,4/22/2016,Loss,Other,No
Ohio Department of Mental Health and Addiction Services,OH,Healthcare Provider,59000,4/22/2016,Unauthorized Access/Disclosure,Other,No
Mayfield Clinic Inc,OH,Healthcare Provider,23341,4/23/2016,Hacking/IT Incident,Email,No
Children's National Medical Center,DC,Healthcare Provider,4107,4/25/2016,Unauthorized Access/Disclosure,Network Server,No
Comanche County Hospital Authority,OK,Healthcare Provider,2199,4/25/2016,Hacking/IT Incident,Email,No
"Family & Children's Services of Mid Michigan, Inc.",MI,Healthcare Provider,981,4/27/2016,Hacking/IT Incident,Network Server,No
Northstar Healthcare Acquisitions LLC,TX,Healthcare Provider,19898,4/28/2016,Theft,Laptop,No
PruittHealth Home Health -- Low Country,SC,Healthcare Provider,1500,4/29/2016,Unauthorized Access/Disclosure,Paper/Films,No
Managed Health Services,IN,Health Plan,610,5/1/2016,Unauthorized Access/Disclosure,Paper/Films,No
"Florida Medical Clinic, PA",FL,Healthcare Provider,1000,5/4/2016,Unauthorized Access/Disclosure,Electronic Medical Record,No
UnitedHealth Group Single Affiliated Covered Entity (SACE),MN,Health Plan,5330,5/4/2016,Unauthorized Access/Disclosure,Paper/Films,No
"Southeast Eye Institute, P.A. dba eye Associates of Pinellas",FL,Healthcare Provider,87314,5/5/2016,Hacking/IT Incident,Network Server,No
